id,sku,name,price,imageUrl,colorName,colorHex,category,seasons,styles,emotionalWords,role,pass,behavior,movement,finish,palette,ep,es,blend,intensity,contrast,inStock,recommendedQty
product_1767172206456_4,06501.CRGR,Miniflower Branch 43''L.,9.8,"https://images.junipercdn.com/1075/06501-crgr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,accent,"['spring', 'summer']","['traditional', 'romantic', 'rustic', 'modern']","['delicate', 'fresh', 'natural']",accent,2,light,sweeping,matte,neutral-light,peace,joy,,"[1, 2]",unified,True,4
product_1767172206468_33,34028.PKGR,Berry Pick 21'',6.72,"https://images.junipercdn.com/1075/34028-pkgr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Peach,#F4C2A1,accent,"['spring', 'fall', 'summer']","['romantic', 'vintage', 'cottage']","['delicate', 'romantic', 'soft']",accent,2,light,sweeping,matte,neutral-mid,peace,tenderness,,"[1, 2]",unified,True,4
product_1767172206468_34,34028.WHGR,Berry Pick 21'',6.72,"https://images.junipercdn.com/1075/34028-whgr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Cream White,#F5F5DC,accent,"['spring', 'winter', 'fall']","['rustic', 'elegant', 'natural']","['delicate', 'natural', 'refined']",accent,2,light,sweeping,matte,neutral-light,peace,trust,,"[1, 2]",unified,True,4
product_1767172443991_16,95442.CR,Pussy Willow Branch 36'',9.24,"https://images.junipercdn.com/1075/95442-cr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Medium Brown,#8B6F47,accent,"['early spring', 'winter']","['rustic', 'contemporary', 'minimalist']","['natural', 'rustic', 'minimal']",accent,2,light,reaching,matte,neutral-mid,trust,nostalgia,,"[1, 2]",unified,True,4
product_1767172443992_18,95444.GY,Dusty Miller Spray 26.5'',8.4,"https://images.junipercdn.com/1075/95444-gy_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#8BA882,accent,"['spring', 'fall', 'summer']","['rustic', 'farmhouse', 'natural', 'vintage']","['natural', 'rustic', 'sophisticated']",accent,2,mid,still,matte,botanical-green,trust,nostalgia,,"[1, 2]",unified,True,4
product_1767172443994_35,95558.EP,Hellebores Rose 21'',8.4,"https://images.junipercdn.com/1075/95558-ep_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Medium Purple,#8B6B9B,accent,"['spring', 'fall', 'summer']","['romantic', 'cottage', 'elegant', 'vintage']","['elegant', 'romantic', 'sophisticated']",accent,2,mid,reaching,gloss,neutral-mid,reverence,tenderness,,"[1, 2]",unified,True,4
product_1767172570596_19,96531.LNN,Stephanotis 37'',8.4,"https://images.junipercdn.com/1075/96531-lnn_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft White,#FFFEF7,accent,"['spring', 'summer']","['cottage', 'romantic', 'garden', 'vintage']","['delicate', 'romantic', 'natural']",accent,2,light,still,matte,neutral-light,peace,tenderness,,"[1, 2]",unified,True,4
product_1767172570596_20,96531.LP,Stephanotis 37'',8.4,"https://images.junipercdn.com/1075/96531-lp_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D5016,accent,"['spring', 'summer']","['traditional', 'romantic', 'minimalist']","['delicate', 'pure', 'gentle']",accent,2,light,still,matte,botanical-green,peace,joy,,"[1, 2]",unified,True,5
product_1767172570598_31,98345.BR,Tree Magnolia Bud Branch 38'',7.56,"https://images.junipercdn.com/1075/98345-br_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Burgundy,#722F37,accent,"['winter', 'fall']","['contemporary', 'rustic', 'minimalist']","['sophisticated', 'understated', 'organic']",accent,2,light,sweeping,matte,neutral-dark,reverence,peace,,"[1, 2]",unified,True,5
product_1767174058918_0,95481.NB,Blueberry Spray 23'',7.7,"https://images.junipercdn.com/1075/95481-nb_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Navy Blue,#2B3A5C,accent,"['autumn', 'winter']","['rustic', 'natural', 'elegant']","['natural', 'sophisticated', 'rustic']",accent,2,mid,sweeping,matte,neutral-dark,trust,reverence,,"[1, 2]",unified,True,4
product_1767174058918_1,95482.BU,Berry Stem 19'',10.08,"https://images.junipercdn.com/1075/95482-bu_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Burgundy,#4A1A2B,accent,"['autumn', 'winter']","['rustic', 'traditional', 'harvest']","['rich', 'organic', 'sophisticated']",accent,2,mid,sweeping,matte,neutral-dark,warmth,trust,,"[1, 2]",unified,True,4
product_1767174058918_2,95482.GR,Berry Stem 19'',10.08,"https://images.junipercdn.com/1075/95482-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#8FA472,accent,"['year round', 'winter', 'fall']","['modern', 'farmhouse', 'natural']","['natural', 'organic', 'sophisticated']",accent,2,mid,sweeping,matte,botanical-green,trust,trust,,"[1, 2]",unified,True,4
product_1767174058918_3,95490.NB,Mulberry Bunch 11'',12.6,"https://images.junipercdn.com/1075/95490-nb_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Purple-Black,#2D1B3D,accent,"['fall', 'summer']","['rustic', 'natural', 'harvest']","['natural', 'rustic', 'abundant']",accent,2,mid,still,matte,neutral-mid,trust,nostalgia,,"[1, 2]",unified,True,4
product_1767174058918_4,95915.GRRD,Holly Berry Pick 18.5'',6.02,"https://images.junipercdn.com/1075/95915-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D4A2B,accent,"['winter', 'fall']","['rustic', 'gothic', 'woodland']","['rustic', 'dramatic', 'natural']",accent,2,mid,sweeping,matte,botanical-green,nostalgia,awe,,"[1, 2]",unified,True,4
